image_id,dataset,model,method,metric,value,time_ms
002836,voc2007,vgg16,fourier_shap,stability_cosine,0.9507340728816815,
004113,voc2007,vgg16,fourier_shap,attribution_wall_sec,1.0190087940000012,
004113,voc2007,vgg16,fourier_shap,insertion_auc,0.7759678611993983,
004113,voc2007,vgg16,fourier_shap,deletion_auc,0.14812293707757665,
004113,voc2007,vgg16,fourier_shap,stability_cosine,0.9929228879544959,
004386,voc2007,vgg16,fourier_shap,attribution_wall_sec,1.0191483600001447,
004386,voc2007,vgg16,fourier_shap,insertion_auc,0.13179758167415329,
004386,voc2007,vgg16,fourier_shap,deletion_auc,0.059371409750863496,
004386,voc2007,vgg16,fourier_shap,stability_cosine,0.9113183876972817,
005283,voc2007,vgg16,fourier_shap,attribution_wall_sec,1.0171001729995623,
005283,voc2007,vgg16,fourier_shap,insertion_auc,0.14339110696697677,
005283,voc2007,vgg16,fourier_shap,deletion_auc,0.040792869799883266,
005283,voc2007,vgg16,fourier_shap,stability_cosine,0.9372049864305372,
000246,voc2007,densenet121,ma_gig,attribution_wall_sec,4.46568623299936,
000246,voc2007,densenet121,ma_gig,insertion_auc,0.10580826753984246,
000246,voc2007,densenet121,ma_gig,deletion_auc,0.011296777363795382,
000246,voc2007,densenet121,ma_gig,stability_cosine,0.007954634889471941,
001444,voc2007,densenet121,ma_gig,attribution_wall_sec,4.46059730900015,
001444,voc2007,densenet121,ma_gig,insertion_auc,0.00395101291280264,
001444,voc2007,densenet121,ma_gig,deletion_auc,0.003965688330337517,
001444,voc2007,densenet121,ma_gig,stability_cosine,0.003177123135387508,
001501,voc2007,densenet121,ma_gig,attribution_wall_sec,4.468996415999754,
001501,voc2007,densenet121,ma_gig,insertion_auc,0.008598088893187852,
001501,voc2007,densenet121,ma_gig,deletion_auc,0.00811748564868066,
001501,voc2007,densenet121,ma_gig,stability_cosine,0.007250833383924525,
002249,voc2007,densenet121,ma_gig,attribution_wall_sec,4.474250430999746,
002249,voc2007,densenet121,ma_gig,insertion_auc,0.020267961741874882,
002249,voc2007,densenet121,ma_gig,deletion_auc,0.019934426742524946,
002249,voc2007,densenet121,ma_gig,stability_cosine,0.013756337030141272,
002836,voc2007,densenet121,ma_gig,attribution_wall_sec,4.435215480999432,
002836,voc2007,densenet121,ma_gig,insertion_auc,0.007623459466785256,
002836,voc2007,densenet121,ma_gig,deletion_auc,0.007602374447971028,
002836,voc2007,densenet121,ma_gig,stability_cosine,0.003115281297849441,
004113,voc2007,densenet121,ma_gig,attribution_wall_sec,4.4662290610003765,
004113,voc2007,densenet121,ma_gig,insertion_auc,0.4463863980828986,
004113,voc2007,densenet121,ma_gig,deletion_auc,0.019824092991507055,
004113,voc2007,densenet121,ma_gig,stability_cosine,0.015252244225360092,
004386,voc2007,densenet121,ma_gig,attribution_wall_sec,4.461547928999607,
004386,voc2007,densenet121,ma_gig,insertion_auc,0.035800345176939606,
004386,voc2007,densenet121,ma_gig,deletion_auc,0.020652105335870814,
004386,voc2007,densenet121,ma_gig,stability_cosine,-0.000555808356828072,
005283,voc2007,densenet121,ma_gig,attribution_wall_sec,4.512503349000326,
005283,voc2007,densenet121,ma_gig,insertion_auc,0.010592101173361422,
005283,voc2007,densenet121,ma_gig,deletion_auc,0.0051488418554957414,
005283,voc2007,densenet121,ma_gig,stability_cosine,0.0025887842164670047,
000246,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.6610962349996043,
000246,voc2007,densenet121,fourier_shap,insertion_auc,0.08517037963443128,
000246,voc2007,densenet121,fourier_shap,deletion_auc,0.028095945860504026,
000246,voc2007,densenet121,fourier_shap,stability_cosine,0.9317444044513894,
001444,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.6594141470004615,
001444,voc2007,densenet121,fourier_shap,insertion_auc,0.107286218578172,
001444,voc2007,densenet121,fourier_shap,deletion_auc,0.005676806810016968,
001444,voc2007,densenet121,fourier_shap,stability_cosine,0.9280789202381572,
001501,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.6636938410001676,
001501,voc2007,densenet121,fourier_shap,insertion_auc,0.14372457483408338,
001501,voc2007,densenet121,fourier_shap,deletion_auc,0.00939682778567667,
001501,voc2007,densenet121,fourier_shap,stability_cosine,0.9522638459799182,
002249,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.6624316549996365,
002249,voc2007,densenet121,fourier_shap,insertion_auc,0.18912925434652014,
002249,voc2007,densenet121,fourier_shap,deletion_auc,0.03637366747669862,
002249,voc2007,densenet121,fourier_shap,stability_cosine,0.9535597804932265,
002836,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.6595477819992084,
002836,voc2007,densenet121,fourier_shap,insertion_auc,0.0131214346699385,
002836,voc2007,densenet121,fourier_shap,deletion_auc,0.011462084114043706,
002836,voc2007,densenet121,fourier_shap,stability_cosine,0.9507532898862548,
004113,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.656703374999779,
004113,voc2007,densenet121,fourier_shap,insertion_auc,0.7784379051149263,
004113,voc2007,densenet121,fourier_shap,deletion_auc,0.10099891534418365,
004113,voc2007,densenet121,fourier_shap,stability_cosine,0.9892549790653477,
004386,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.6538154439995196,
004386,voc2007,densenet121,fourier_shap,insertion_auc,0.4596744247169439,
004386,voc2007,densenet121,fourier_shap,deletion_auc,0.02925007944677774,
004386,voc2007,densenet121,fourier_shap,stability_cosine,0.9496569706363289,
005283,voc2007,densenet121,fourier_shap,attribution_wall_sec,0.6612727619994985,
005283,voc2007,densenet121,fourier_shap,insertion_auc,0.08420256654529179,
005283,voc2007,densenet121,fourier_shap,deletion_auc,0.008566127690411015,
005283,voc2007,densenet121,fourier_shap,stability_cosine,0.9713165006313348,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,3.922709381000459,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.0017350083751009925,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.0017100543747069555,
CHNCXR_0008_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,-0.0024210456807850925,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,3.9015669000000344,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.0008098203799214936,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.0008387744192958589,
CHNCXR_0047_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,-0.006971165575066331,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,3.925855529000728,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.0024553939743261074,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.0025506730642746328,
CHNCXR_0089_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,0.02266369883685257,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,3.9160318300000654,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.0035835603369660522,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,ma_gig,deletion_auc,0.003679503288831751,
CHNCXR_0186_0,chncxr_shenzhen,resnet50,ma_gig,stability_cosine,0.0011810994440963098,
CHNCXR_0210_0,chncxr_shenzhen,resnet50,ma_gig,attribution_wall_sec,3.9237573480004357,
CHNCXR_0210_0,chncxr_shenzhen,resnet50,ma_gig,insertion_auc,0.004274750170473124,
